marketid,zipcode,category,name,latitude,longitude,website,address,map,phone,active,dailytraffic,description
,,,,,,,,,,,,
ChIJw8v3-u8G9YgRyQ3sflu7wUk,30324,grocery_or_supermarket,KHI International Trade,33.7880088,-84.3229958,http://www.khinternational.com/,"1649 N Decatur Rd, Atlanta, GA 30307, USA",https://maps.google.com/?cid=5314735036919713225,(404) 920-1572,,,
,,,,,,,,,,,,
ChIJaaBaNhkF9YgR4hWFz2LuKYk,30324,bakery,Publix Super Market at Peachtree Battle SC,33.8208465,-84.3865513,http://www.publix.com/,"2365 Peachtree Rd NE, Atlanta, GA 30305, USA",https://maps.google.com/?cid=9883692965397075426,(404) 869-6556,,,
,,,,,,,,,,,,
ChIJ03mBjoIH9YgRmlvPFl07b60,30324,grocery_or_supermarket,Cherians International Groceries,33.7986531,-84.2794785,http://www.cherians.com/,"751 Dekalb Industrial Way, Decatur, GA 30033, USA",https://maps.google.com/?cid=12497272761977101210,(404) 299-0842,,,
,,,,,,,,,,,,
ChIJyS9B8HcG9YgRVEZmDumcd30,30324,bakery,International Bakery,33.8133276,-84.3535128,,"2165 Cheshire Bridge Rd NE #5, Atlanta, GA 30324, USA",https://maps.google.com/?cid=9040867301752456788,(404) 636-7580,,,
,,,,,,,,,,,,
ChIJ10zeHTUE9YgR0gO0QptFsIQ,30324,grocery_or_supermarket,Kroger,33.800517,-84.372989,https://www.kroger.com/?cid=PDM-KROGER.GMB-LOCAL,"1700 Monroe Dr NE, Atlanta, GA 30324, USA",https://maps.google.com/?cid=9561218542048904146,(404) 872-0782,,,
,,,,,,,,,,,,
ChIJVSQgiHcD9YgR8YC-XnytxkM,30324,food,Gourmet Foods International,33.7479262,-84.3984166,http://www.gfifoods.com/,"255 Ted Turner Dr SW, Atlanta, GA 30303, USA",https://maps.google.com/?cid=4883781595606974705,(404) 954-7600,,,
,,,,,,,,,,,,
ChIJ1XkZlusO9YgR-fEnXcILd20,30324,grocery_or_supermarket,BAKKAL INT'L FOODS,33.9102168,-84.3792036,http://www.bakkalinternational.com/,"5690 Roswell Rd #100, Sandy Springs, GA 30342, USA",https://maps.google.com/?cid=7887786201777172985,(404) 847-9942,,,
,,,,,,,,,,,,
ChIJe1uH0s4J9YgRO4E14TmH6Cg,30324,grocery_or_supermarket,International Food Store,33.8957065,-84.2849677,,"3651 Shallowford Rd, Atlanta, GA 30340, USA",https://maps.google.com/?cid=2947754638775255355,(678) 691-2235,,,
,,,,,,,,,,,,
ChIJLZoPbcIF9YgRJvg7nOmBTO4,30324,point_of_interest,Aramark,33.8229896,-84.3684981,http://www.aramark.com/,"575 Morosgo Dr NE, Atlanta, GA 30324, USA",https://maps.google.com/?cid=17171242319605397542,(404) 467-0172,,,
,,,,,,,,,,,,
ChIJOwmMtJ4O9YgRgi9BMj1nNiQ,30324,grocery_or_supermarket,Shahrzad,33.9307585,-84.3790735,http://www.shahrzad.com/,"6435 Roswell Rd, Atlanta, GA 30328, USA",https://maps.google.com/?cid=2609386546641579906,(404) 257-9045,,,
